study_name,study_value,method,runs,mean_best_raw_objective,std_best_raw_objective,mean_best_valid_energy,mean_feasible_hit_rate,mean_approx_gap,mean_elapsed_seconds,mean_effective_shots,mean_estimated_billed_seconds,mean_estimated_qpu_cost_usd,win_rate,ci95_best_raw_objective_low,ci95_best_raw_objective_high,ci95_feasible_hit_rate_low,ci95_feasible_hit_rate_high,ci95_win_rate_low,ci95_win_rate_high,p_value_vs_random_best_valid
cvar_alpha,0.2,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.0001339303344138898,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
cvar_alpha,0.2,random,3,-0.27218814143688524,0.08637082824871278,-0.36146509283537304,1.0,0.010243158524823662,0.01968934733304195,3840.0,24.01113154000389,0.0,0.0,-0.3943060624879407,-0.20882918587242985,1.0,1.0,0.0,0.0,1.0
cvar_alpha,0.2,spsa,3,-0.27373665187676205,0.07521136912378504,-0.36146509283537304,1.0,0.002661291644166252,0.01944811133337983,3840.0,24.01093947233797,0.0,0.0,-0.3800862779373922,-0.2189988782632989,1.0,1.0,0.0,0.0,1.0
depth,1,bayesian_optimization,3,-0.3240918478427937,0.08972059737178645,-0.36146509283537304,1.0,0.004948412693978852,0.4107985273367376,3840.0,24.011322985328054,0.0,0.0,-0.450735807083761,-0.2540127179387596,1.0,1.0,0.0,0.0,1.0
depth,1,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.0001319726628328984,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
depth,1,random,3,-0.3167904433108354,0.09218319131539882,-0.36146509283537304,1.0,0.009818493242925825,0.017954041664779652,3840.0,24.01022538700151,0.0,0.0,-0.4470743089725196,-0.24762397288875562,1.0,1.0,0.0,0.0,1.0
depth,1,spsa,3,-0.31875691742801066,0.10276818344655657,-0.36146509283537304,1.0,0.005428715213769191,0.017841402999086615,3840.0,24.010200306666473,0.0,0.0,-0.46409266735912813,-0.2457904837120789,1.0,1.0,0.0,0.0,1.0
depth,2,bayesian_optimization,3,-0.314623447101658,0.09159457202046033,-0.36146509283537304,1.0,0.013842968604617454,0.5369378333319522,3840.0,24.01196684765455,0.0,0.0,-0.44399909608527305,-0.24438544036344825,1.0,1.0,0.0,0.0,1.0
depth,2,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.00013570833592287576,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
depth,2,random,3,-0.3018460230484064,0.08374913464011853,-0.36146509283537304,1.0,0.010243158524823662,0.019335944334064454,3840.0,24.010930736333346,0.0,0.0,-0.42018150675951743,-0.23838744204460874,1.0,1.0,0.0,0.0,1.0
depth,2,spsa,3,-0.3100982721684069,0.08394913572188387,-0.36146509283537304,1.0,0.002661291644166252,0.01928008299970922,3840.0,24.010805209666916,0.0,0.0,-0.4279952014401689,-0.23904932680266314,1.0,1.0,0.0,0.0,1.0
depth,3,bayesian_optimization,3,-0.30051997331622937,0.08097650171963901,-0.36146509283537304,1.0,0.011029300957567698,0.586376930664604,3840.0,24.01269119432982,0.0,0.0,-0.4149543895876649,-0.2395127749974241,1.0,1.0,0.0,0.0,1.0
depth,3,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.00014036100280160704,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
depth,3,random,3,-0.30417677517937525,0.0886510811396928,-0.36146509283537304,1.0,0.008735138990945962,0.020561847331312794,3840.0,24.011722124339332,0.0,0.0,-0.4295466007152718,-0.24092053529082127,1.0,1.0,0.0,0.0,1.0
depth,3,spsa,3,-0.29400307680651416,0.07909786517946128,-0.36146509283537304,1.0,0.009507189236608454,0.02018054200016195,3840.0,24.01145776366805,0.0,0.0,-0.4056996484288744,-0.2328997619963122,1.0,1.0,0.0,0.0,1.0
depth,8,bayesian_optimization,3,-0.2898886192084158,0.07595067700222884,-0.36146509283537304,1.0,0.008159514974673036,0.5574143336658987,3840.0,24.015302459330996,0.0,0.0,-0.3972887724652137,-0.23489884650823237,1.0,1.0,0.0,0.0,1.0
depth,8,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.0001605140011330756,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
depth,8,random,3,-0.29250899263172214,0.0790783409482419,-0.36146509283537304,1.0,0.01111420427967274,0.023632416666562978,3840.0,24.01445329166745,0.0,0.0,-0.4040371533444264,-0.22959102964280617,1.0,1.0,0.0,0.0,1.0
depth,8,spsa,3,-0.2966718008653855,0.08846469064107872,-0.36146509283537304,1.0,0.009229321344751946,0.023142403001353767,3840.0,24.01431308366106,0.0,0.0,-0.4217614166804767,-0.23227139419805898,1.0,1.0,0.0,0.0,1.0
eval_budget,12,bayesian_optimization,3,-0.314623447101658,0.09159457202046033,-0.36146509283537304,1.0,0.013842968604617454,0.6090873609985769,3840.0,24.011947820004327,0.0,0.0,-0.44399909608527305,-0.24438544036344825,1.0,1.0,0.0,0.0,1.0
eval_budget,12,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.00013784733164357021,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
eval_budget,12,random,3,-0.3018460230484064,0.08374913464011853,-0.36146509283537304,1.0,0.010243158524823662,0.01938969466573326,3840.0,24.010901263347478,0.0,0.0,-0.42018150675951743,-0.23838744204460874,1.0,1.0,0.0,0.0,1.0
eval_budget,12,spsa,3,-0.3100982721684069,0.08394913572188387,-0.36146509283537304,1.0,0.002661291644166252,0.019396152665043093,3840.0,24.010905375679915,0.0,0.0,-0.4279952014401689,-0.23904932680266314,1.0,1.0,0.0,0.0,1.0
eval_budget,20,bayesian_optimization,3,-0.31529815020452817,0.0888491006045405,-0.36146509283537304,1.0,0.009392583963542676,1.0242814996696932,6400.0,40.020234846999905,0.0,0.0,-0.44032282362437813,-0.24192914298525584,1.0,1.0,0.0,0.0,1.0
eval_budget,20,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.00014597233530366793,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
eval_budget,20,random,3,-0.30474981501778425,0.08353283596587148,-0.36146509283537304,1.0,0.006966498210344799,0.032327555665688124,6400.0,40.01833731799221,0.0,0.0,-0.4225692234657214,-0.23838744204460874,1.0,1.0,0.0,0.0,1.0
eval_budget,20,spsa,3,-0.3075935266848645,0.09429603096904327,-0.36146509283537304,1.0,0.007291600506439714,0.03179643033460403,6400.0,40.0179747226648,0.0,0.0,-0.4407823602947561,-0.2352403655723813,1.0,1.0,0.0,0.0,1.0
eval_budget,8,bayesian_optimization,3,-0.30812021241122045,0.09149033575727442,-0.36146509283537304,1.0,0.0104284208678488,0.27696763900166843,2560.0,16.007722749670695,0.0,0.0,-0.4373069716443232,-0.23729720723574008,1.0,1.0,0.0,0.0,1.0
eval_budget,8,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.0001321526651736349,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
eval_budget,8,random,3,-0.2977387627102119,0.0841636631236669,-0.36146509283537304,1.0,0.007947598585717358,0.012792861334067615,2560.0,16.007141722999222,0.0,0.0,-0.4167640108262131,-0.2380648352598139,1.0,1.0,0.0,0.0,1.0
eval_budget,8,spsa,3,-0.2884974173382435,0.08544032283979487,-0.36146509283537304,1.0,0.018836923051426584,0.012510652998268293,2560.0,16.00703036133685,0.0,0.0,-0.408744144996422,-0.21809706386833735,1.0,1.0,0.0,0.0,1.0
