study_name,study_value,seed,regime,n_assets,budget,execution_mode,execution_billing_mode,noise_model,depolarizing_strength_1q,depolarizing_strength_2q,measurement_error,transpile_topology,mixer_type,p_layers,evaluation_budget,n_init_points,shots,cvar_alpha,invalid_penalty,method,best_raw_objective,best_valid_energy,feasible_hit_rate,mean_objective_variance,mean_approx_gap,best_approx_ratio,mean_approx_ratio,best_valid_regret_auc,best_valid_energy_per_shot,best_valid_energy_per_usd,mean_shot_noise_variance_proxy,mean_excess_variance,best_valid_sharpe_ratio,mean_best_valid_sharpe_ratio,mean_budget_violation,violation_counts,mean_zne_correction_magnitude,shots_to_first_feasible,elapsed_seconds,total_objective_calls,effective_shots,estimated_billed_seconds,estimated_qpu_cost_usd,win_share,exact_reference_available,constraint_hardness,penalty_doublings,best_params
factorial,regime=baseline | n_assets=6 | mixer_type=xy | depolarizing_strength_2q=0.02,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,xy,2,6,3,128,0.1,50.0,bayesian_optimization,-0.4535050585831682,-0.49398316399409165,1.0,0.0008043324009577255,0.015897339938406807,1.0,1.0356210069273415,0.0,-0.0006432072447839735,nan,6.283846882482231e-06,0.0007980485540752432,1.393163809437971,1.4688078218172997,1.1484375,"{""0"": 196, ""1"": 336, ""2"": 169, ""3"": 60, ""4"": 7}",0.0,128.0,0.2631293329759501,6,768.0,12.00222741503967,0.0,0.0,True,0.234375,0,"[3.458936035049703, 2.7922639376180287, 5.330245309677965, 1.490737075754312]"
factorial,regime=baseline | n_assets=6 | mixer_type=xy | depolarizing_strength_2q=0.02,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,xy,2,6,3,128,0.1,50.0,classical_markowitz,-0.5198301787415209,-0.5198301787415209,1.0,0.0,0.0,1.0,1.0,0.0,nan,nan,0.0,0.0,2.0365805043983296,2.0365805043983296,0.0,"{""0"": 1}",0.0,0.0,4.441698547452688e-05,1,0.0,0.0,0.0,1.0,True,0.234375,0,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
factorial,regime=baseline | n_assets=6 | mixer_type=xy | depolarizing_strength_2q=0.02,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,xy,2,6,3,128,0.1,50.0,random,-0.5005581116808497,-0.5198301787415209,1.0,0.0009638615579953408,0.0032198618692161896,1.0,1.0064331489633573,0.0,-0.000676862211903022,nan,7.5301684218386e-06,0.0009563313895735022,2.0365805043983296,1.9922493935384864,1.0872395833333333,"{""0"": 217, ""1"": 327, ""2"": 169, ""3"": 50, ""4"": 5}",0.0,128.0,0.003580958000384271,6,768.0,12.001889124920126,0.0,0.0,True,0.234375,0,"[2.619816689582517, 1.8561909556720675, 5.805994911027577, 1.395505534619388]"
factorial,regime=baseline | n_assets=6 | mixer_type=xy | depolarizing_strength_2q=0.02,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,xy,2,6,3,128,0.1,50.0,spsa,-0.49904880142965463,-0.5198301787415209,1.0,0.0011205621574212343,0.0,1.0,1.0,0.0,-0.000676862211903022,nan,8.754391854853393e-06,0.001111807765566381,2.0365805043983296,2.0365805043983296,1.1106770833333333,"{""0"": 203, ""1"": 336, ""2"": 172, ""3"": 55, ""4"": 2}",0.0,128.0,0.003383625007700175,6,768.0,12.001787875022274,0.0,0.0,True,0.234375,0,"[2.723258830787655, 1.2704431422328937, 1.3770328781769148, 0.04369372941868832]"
factorial,regime=baseline | n_assets=6 | mixer_type=xy | depolarizing_strength_2q=0.02,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,xy,2,6,3,128,0.1,50.0,bayesian_optimization,-0.48582651104430147,-0.5198301787415209,1.0,0.0009315961936720435,0.006439723738432379,1.0,1.0128662979267145,0.0,-0.000676862211903022,nan,7.27809526306284e-06,0.0009243180984089807,2.0365805043983296,1.9479182826786428,1.1015625,"{""0"": 198, ""1"": 353, ""2"": 164, ""3"": 47, ""4"": 6}",0.0,128.0,0.24650329095311463,6,768.0,12.00226104108151,0.0,0.0,True,0.234375,0,"[2.334646423849, 0.04790725477262874, 2.765199400784281, 0.13011921009635602]"
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.001,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,product_x,2,6,3,128,0.1,50.0,classical_markowitz,-0.49398316399409165,-0.49398316399409165,1.0,0.0,0.0,1.0,1.0,0.0,nan,nan,0.0,0.0,1.393163809437971,1.393163809437971,0.0,"{""0"": 1}",0.0,0.0,4.291703226044774e-05,1,0.0,0.0,0.0,1.0,True,0.234375,0,"[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]"
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.001,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,product_x,2,6,3,128,0.1,50.0,random,-0.4268910818252793,-0.49398316399409165,1.0,124.20521474848253,0.007948669969203404,1.0,1.0178105034636709,0.0,-0.0006432072447839735,nan,0.9703532402225198,123.23486150826001,1.393163809437971,1.4309858156276354,1.7682291666666667,"{""0"": 92, ""1"": 299, ""2"": 194, ""3"": 61, ""4"": 122}",0.0,128.0,0.0032962080440483987,6,768.0,12.001911999017466,0.0,0.0,True,0.234375,0,"[5.943287499619823, 1.826466330787892, 4.741890294510047, 0.8019958224402369]"
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.001,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,product_x,2,6,3,128,0.1,50.0,spsa,-0.44245865776877435,-0.49398316399409165,1.0,165.1515626278527,0.04922698855240939,1.0,1.1150587378319312,0.13225523079525744,-0.0006432072447839735,nan,1.2902465830300993,163.8613160448226,1.393163809437971,1.4016824212125687,1.9622395833333333,"{""0"": 112, ""1"": 162, ""2"": 245, ""3"": 141, ""4"": 108}",0.0,128.0,0.0030169590027071536,6,768.0,12.0017949580797,0.0,0.0,True,0.234375,0,"[5.219061583517742, 0.20134133931463705, 1.5074423314794636, 1.059630708933617]"
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.001,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,product_x,2,6,3,128,0.1,50.0,bayesian_optimization,-0.4580415426651684,-0.49398316399409165,1.0,27.756849087010306,0.007948669969203404,1.0,1.0178105034636709,0.0,-0.0006432072447839735,nan,0.216850383492268,27.539998703518037,1.393163809437971,1.4309858156276354,1.5690104166666667,"{""0"": 129, ""1"": 280, ""2"": 186, ""3"": 139, ""4"": 34}",0.0,128.0,0.2694232079666108,6,768.0,12.002142375102267,0.0,0.0,True,0.234375,0,"[3.458936035049703, 2.7922639376180287, 5.330245309677965, 1.490737075754312]"
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.001,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,product_x,2,6,3,128,0.1,50.0,classical_markowitz,-0.5198301787415209,-0.5198301787415209,1.0,0.0,0.0,1.0,1.0,0.0,nan,nan,0.0,0.0,2.0365805043983296,2.0365805043983296,0.0,"{""0"": 1}",0.0,0.0,4.412501584738493e-05,1,0.0,0.0,0.0,1.0,True,0.234375,0,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
