study_name,study_value,method,runs,mean_best_raw_objective,std_best_raw_objective,mean_best_valid_energy,mean_feasible_hit_rate,mean_approx_gap,mean_best_approx_ratio,mean_best_valid_regret_auc,mean_best_valid_energy_per_shot,mean_best_valid_energy_per_usd,mean_best_valid_sharpe_ratio,mean_shot_noise_variance_proxy,mean_excess_variance,mean_budget_violation,aggregate_violation_counts,mean_zne_correction_magnitude,mean_shots_to_first_feasible,mean_elapsed_seconds,mean_effective_shots,mean_estimated_billed_seconds,mean_estimated_qpu_cost_usd,mean_penalty_doublings,mean_constraint_hardness,win_rate,ci95_best_raw_objective_low,ci95_best_raw_objective_high,ci95_feasible_hit_rate_low,ci95_feasible_hit_rate_high,ci95_win_rate_low,ci95_win_rate_high,ci95_elapsed_seconds_low,ci95_elapsed_seconds_high,ci95_estimated_billed_seconds_low,ci95_estimated_billed_seconds_high,ci95_estimated_qpu_cost_usd_low,ci95_estimated_qpu_cost_usd_high,ci95_shots_to_first_feasible_low,ci95_shots_to_first_feasible_high,p_value_best_valid_vs_classical_markowitz,p_value_best_valid_vs_classical_markowitz_bonferroni,p_value_best_valid_vs_random,p_value_best_valid_vs_random_bonferroni,p_value_best_valid_vs_spsa,p_value_best_valid_vs_spsa_bonferroni,p_value_best_valid_vs_bayesian_optimization,p_value_best_valid_vs_bayesian_optimization_bonferroni,p_value_vs_random_best_valid,p_value_vs_random_best_valid_bonferroni
factorial,regime=baseline | n_assets=12 | mixer_type=product_x | depolarizing_strength_2q=0.001,bayesian_optimization,2,-0.3367077442663666,0.029991689636487212,-0.4452992001367588,1.0,0.09632093441239223,1.093722029845204,0.23429481619946513,-0.000579816666844738,nan,1.522969951588713,0.4521705720061617,57.42566264478254,2.751953125,"{""0"": 190, ""1"": 273, ""2"": 287, ""3"": 303, ""4"": 198, ""5"": 129, ""6"": 83, ""7"": 48, ""8"": 25}",0.0,128.0,0.2982809375098441,768.0,12.007248749519931,0.0,0.0,0.120849609375,0.0,-0.3666994339028538,-0.3067160546298794,1.0,1.0,0.0,0.0,0.2223896670038812,0.374172208015807,12.007244208070915,12.007253290968947,0.0,0.0,128.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=12 | mixer_type=product_x | depolarizing_strength_2q=0.001,classical_markowitz,2,-0.48864521562734103,0.06054229866948285,-0.48864521562734103,1.0,0.0,1.0,0.0,nan,nan,1.4971567154237198,0.0,0.0,0.0,"{""0"": 2}",0.0,0.0,0.0011953125067520887,0.0,0.0,0.0,0.0,0.120849609375,1.0,-0.5491875142968239,-0.4281029169578582,1.0,1.0,1.0,1.0,0.0011849160073325038,0.0012057090061716735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
factorial,regime=baseline | n_assets=12 | mixer_type=product_x | depolarizing_strength_2q=0.001,random,2,-0.29937925480601746,0.017376775316827187,-0.4608713914980098,1.0,0.07067620548744752,1.0579161246226558,0.24361061211428814,-0.0006000929576797003,nan,1.3863345861739416,0.5514102372612595,70.02910013217995,3.15234375,"{""0"": 167, ""1"": 264, ""2"": 243, ""3"": 277, ""4"": 203, ""5"": 115, ""6"": 81, ""7"": 100, ""8"": 86}",0.0,128.0,0.00999339550617151,768.0,12.006780855037505,0.0,0.0,0.120849609375,0.0,-0.31675603012284465,-0.28200247948919027,1.0,1.0,0.0,0.0,0.009955790999811143,0.010031000012531877,12.006728959036991,12.006832751038019,0.0,0.0,128.0,128.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=12 | mixer_type=product_x | depolarizing_strength_2q=0.001,spsa,2,-0.36096251461955536,0.029239445318993473,-0.46967372875657737,1.0,0.07876841555689487,1.0371084390459357,0.10110342706397493,-0.0006115543343184601,nan,1.460946453316722,0.12442383118438101,15.801826560416387,2.266927083333333,"{""0"": 268, ""1"": 422, ""2"": 316, ""3"": 167, ""4"": 134, ""5"": 88, ""6"": 62, ""7"": 53, ""8"": 26}",0.0,128.0,0.010248270991723984,768.0,12.006661333027296,0.0,0.0,0.120849609375,0.0,-0.39020195993854884,-0.3317230693005619,1.0,1.0,0.0,0.0,0.010150292015168816,0.010346249968279153,12.006599542044569,12.006723124010023,0.0,0.0,128.0,128.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
factorial,regime=baseline | n_assets=12 | mixer_type=product_x | depolarizing_strength_2q=0.02,bayesian_optimization,2,-0.2977898568872632,0.04249044965993795,-0.46461306679863434,1.0,0.07682711516820527,1.0481850561915995,0.15387591352481567,-0.0006049649307273885,nan,1.338294138702246,0.061779125853739535,7.84594898342492,2.169270833333333,"{""0"": 185, ""1"": 397, ""2"": 377, ""3"": 277, ""4"": 187, ""5"": 84, ""6"": 21, ""7"": 8}",0.0,128.0,0.19460775001789443,768.0,12.00735843743314,0.0,0.0,0.120849609375,0.0,-0.34028030654720115,-0.25529940722732525,1.0,1.0,0.0,0.0,0.18796437501441687,0.201251125021372,12.007281791884452,12.007435082981829,0.0,0.0,128.0,128.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=12 | mixer_type=product_x | depolarizing_strength_2q=0.02,classical_markowitz,2,-0.48864521562734103,0.06054229866948285,-0.48864521562734103,1.0,0.0,1.0,0.0,nan,nan,1.4971567154237198,0.0,0.0,0.0,"{""0"": 2}",0.0,0.0,0.0011829999857582152,0.0,0.0,0.0,0.0,0.120849609375,1.0,-0.5491875142968239,-0.4281029169578582,1.0,1.0,1.0,1.0,0.0011825829860754311,0.0011834169854409993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
factorial,regime=baseline | n_assets=12 | mixer_type=product_x | depolarizing_strength_2q=0.02,random,2,-0.32810595461370917,0.062168816474222094,-0.46505547833753413,1.0,0.07541927694005177,1.056819858739082,0.15764131005580545,-0.0006055409874186642,nan,1.4014290242686087,0.4381104843770506,55.640031515885426,2.236328125,"{""0"": 165, ""1"": 377, ""2"": 380, ""3"": 311, ""4"": 184, ""5"": 89, ""6"": 26, ""7"": 4}",0.0,128.0,0.010583604482235387,768.0,12.006884687551064,0.0,0.0,0.120849609375,0.0,-0.39027477108793124,-0.26593713813948705,1.0,1.0,0.0,0.0,0.010540124960243702,0.010627084004227072,12.006837415974587,12.006931959127542,0.0,0.0,128.0,128.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=12 | mixer_type=product_x | depolarizing_strength_2q=0.02,spsa,2,-0.3032914469646948,0.06929033143490324,-0.4497711045979149,1.0,0.10818942015542622,1.0856839443807127,0.19437055514713072,-0.0005856394591118683,nan,1.1607700638139873,0.38874809628857776,49.37100822864937,2.179036458333333,"{""0"": 170, ""1"": 398, ""2"": 377, ""3"": 294, ""4"": 199, ""5"": 74, ""6"": 21, ""7"": 3}",0.0,128.0,0.010508791485335678,768.0,12.00684302157606,0.0,0.0,0.120849609375,0.0,-0.37258177839959805,-0.23400111552979158,1.0,1.0,0.0,0.0,0.01035045797470957,0.010667124995961785,12.00675816705916,12.00692787609296,0.0,0.0,128.0,128.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
factorial,regime=baseline | n_assets=12 | mixer_type=xy | depolarizing_strength_2q=0.001,bayesian_optimization,2,-0.4442978424898347,0.07145042245531777,-0.48733725252535254,1.0,0.024940905333151592,1.003074037821159,0.03141842753462949,-0.0006345537142257194,nan,1.3562349403444942,7.0600369545186046e-06,0.0008966246932238628,0.4114583333333333,"{""0"": 970, ""1"": 506, ""2"": 54, ""3"": 6}",0.0,128.0,0.3248108544794377,768.0,12.006225228484254,0.0,0.0,0.120849609375,0.0,-0.5157482649451525,-0.37284742003451693,1.0,1.0,0.0,0.0,0.3133418749785051,0.3362798339803703,12.006139540986624,12.006310915981885,0.0,0.0,128.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=12 | mixer_type=xy | depolarizing_strength_2q=0.001,classical_markowitz,2,-0.48864521562734103,0.06054229866948285,-0.48864521562734103,1.0,0.0,1.0,0.0,nan,nan,1.4971567154237198,0.0,0.0,0.0,"{""0"": 2}",0.0,0.0,0.0011888335284311324,0.0,0.0,0.0,0.0,0.120849609375,1.0,-0.5491875142968239,-0.4281029169578582,1.0,1.0,1.0,1.0,0.001141292043030262,0.0012363750138320029,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=12 | mixer_type=xy | depolarizing_strength_2q=0.001,random,2,-0.4195684337946387,0.04523175479186636,-0.48733725252535254,1.0,0.024963833178630032,1.003074037821159,0.05758061173836171,-0.0006345537142257194,nan,1.3562349403444942,8.497644742336258e-06,0.0010792008822767046,0.38736979166666663,"{""0"": 1019, ""1"": 446, ""2"": 64, ""3"": 7}",0.0,128.0,0.011063646001275629,768.0,12.006421707978006,0.0,0.0,0.120849609375,0.0,-0.46480018858650507,-0.37433667900277234,1.0,1.0,0.0,0.0,0.01089987502200529,0.011227416980545968,12.00626133295009,12.006582083005924,0.0,0.0,128.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
