study_name,regime,n_assets,budget,execution_mode,execution_billing_mode,noise_model,depolarizing_strength_1q,depolarizing_strength_2q,measurement_error,transpile_topology,p_layers,evaluation_budget,n_init_points,shots,cvar_alpha,invalid_penalty,method,runs,mean_xy_metric,mean_product_x_metric,mean_mixer_delta,abs_mean_mixer_delta,xy_win_rate,product_x_win_rate,mean_constraint_hardness,better_mixer
factorial,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,2,-0.4189321619580028,-0.4189321619580028,0.0,0.0,0.0,0.0,0.234375,tie
factorial,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,random,2,-0.4160272180026779,-0.4151552040051748,0.0008720139975030572,0.0008720139975030572,0.5,0.5,0.234375,tie
factorial,hard_budget,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,spsa,2,-0.4166237417008618,-0.4163389506345475,0.0002847910663142661,0.0002847910663142661,0.5,0.5,0.234375,tie
factorial,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,2,-0.3971646914048623,-0.3888949113651492,0.008269780039713098,0.008269780039713098,1.0,0.0,0.120849609375,xy
factorial,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,2,-0.40435134743307743,-0.40435134743307743,0.0,0.0,0.0,0.0,0.120849609375,tie
factorial,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,random,2,-0.39710897867584266,2.5091105656359516,2.906219544311795,2.906219544311795,1.0,0.0,0.120849609375,xy
factorial,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,2,6,3,128,0.1,50.0,spsa,2,-0.3972207148637953,-0.3875308563503104,0.009689858513484861,0.009689858513484861,1.0,0.0,0.120849609375,xy
factorial,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,bayesian_optimization,2,-0.3867420097589288,-0.3732954810747471,0.013446528684181752,0.013446528684181752,1.0,0.0,0.120849609375,xy
factorial,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,classical_markowitz,2,-0.40435134743307743,-0.40435134743307743,0.0,0.0,0.0,0.0,0.120849609375,tie
factorial,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,random,2,-0.3853088406542141,-0.3843901985823043,0.0009186420719098642,0.0009186420719098642,0.5,0.5,0.120849609375,tie
factorial,hard_budget,12,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,2,6,3,128,0.1,50.0,spsa,2,-0.38562138039200267,-0.38750644943838375,-0.0018850690463811381,0.0018850690463811381,0.0,1.0,0.120849609375,product_x
